工作名称,工作地点,工作公司,工作薪资,工作学历,工作标签,工作经验,招聘详情页链接
高级python开发工程师,北京·朝阳区·百子湾,迈外迪,20-35K,本科,新零售,5-10年,https://www.zhipin.com/gongsi/7fdcdfff003aeae11XZ_3dW9Eg~~.html
Python工程师,北京·海淀区·西北旺,纬创软件,15-24K,大专,计算机软件,3-5年,https://www.zhipin.com/gongsi/fc705eb462e9b27b1HJ-2t60GA~~.html
仿真开发工程师,北京·海淀区·五道口,魔门塔科技,20-40K,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/a3fff9582538ae7f03J92d27.html
软件工程师-通才,北京·海淀区·西北旺,小马慧行,30-60K·16薪,本科,互联网,3-5年,https://www.zhipin.com/gongsi/946657ff8adb68be3nFy3928GQ~~.html
数据服务技术支持专家,北京·朝阳区·鸟巢,今日头条,15-30K,本科,移动互联网,3-5年,https://www.zhipin.com/gongsi/a67b361452e384e71XV82N4~.html
机器学习平台研发工程师,北京·海淀区·上地,新浪数科,40-55K·15薪,本科,互联网金融,5-10年,https://www.zhipin.com/gongsi/a10c34f5244ce7901HR70t24Eg~~.html
自动驾驶 后端开发,北京·海淀区·西北旺,滴滴出行,25-50K·15薪,本科,移动互联网,3-5年,https://www.zhipin.com/gongsi/980f48937a13792b1nd63d0~.html
量化策略开发工程师,北京·丰台区·丽泽,银河证券,25-50K,硕士,互联网金融,3-5年,https://www.zhipin.com/gongsi/8f65b22e28de3fb51XR72Nm0.html
云计算研发工程师-北京,北京·朝阳区·望京,首都在线,20-40K,本科,互联网,3-5年,https://www.zhipin.com/gongsi/ab5156bf0e6bcc1e1nB_0tQ~.html
运维开发工程师,北京,本初子午,18-28K·15薪,本科,医疗健康,1-3年,https://www.zhipin.com/gongsi/af6ba190a9c3fd071nF92tm8FVI~.html
Python开发工程师,北京·朝阳区·立水桥,途游游戏,25-50K·13薪,本科,游戏,经验不限,https://www.zhipin.com/gongsi/97bce10e039a3a401HZ62t0~.html
Python开发工程师,北京·海淀区·知春路,达观数据,15-25K,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/13398c770ed6d8b61nB60tw~.html
python开发工程师（算法仓开发）,北京,旷视MEGVII,25-40K·14薪,本科,计算机服务,1-3年,https://www.zhipin.com/gongsi/075e0d17cd137e971nV43NU~.html
Python,北京·海淀区·紫竹桥,绿盟科技,13-25K,本科,信息安全,5-10年,https://www.zhipin.com/gongsi/56fcc3e5c3f3939d1Xd929q4.html
爬虫工程师,北京·朝阳区·酒仙桥,奇虎360,20-40K·15薪,本科,互联网,3-5年,https://www.zhipin.com/gongsi/0ac3daa93b4ee7011XN4.html
开发工程师,北京·海淀区·五道口,Veritas,30-50K·14薪,不限,企业服务,经验不限学历,https://www.zhipin.com/gongsi/8a6dea8e3e856f371HV63ti9.html
Python/GO开发工程师,北京·朝阳区·酒仙桥,360集团,20-30K·15薪,本科,互联网,1-3年,https://www.zhipin.com/gongsi/825f0be0dd10b3991nZ-3N-8EFQ~.html
云网络平台研发专家/高级工程师,北京·海淀区·中关村,蓝宇,30-60K,本科,计算机软件,5-10年,https://www.zhipin.com/gongsi/12a9e24711f0c83e3nF-3d-5Fw~~.html
python工程师,北京·海淀区·西北旺,中电金信,13-25K,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/9e1bceeac44be7361nd80tq6E1U~.html
研发工程师（偏后台研发方向）,北京·朝阳区·望京,北京知道创宇,18-23K,本科,信息安全,3-5年,https://www.zhipin.com/gongsi/d272aa0ee2b0eaa41XRz09y1.html
后端python开发,北京·昌平区·回龙观,纵目科技,18-28K·14薪,本科,汽车生产,3-5年,https://www.zhipin.com/gongsi/8aa9f7a0e94ad5410nV73dm5.html
后端研发工程师,北京·海淀区·学院路,长亭科技,20-40K·14薪,本科,信息安全,3-5年,https://www.zhipin.com/gongsi/3cd0c8b96fd0bd001nJ53dy5.html
高级Python爬虫工程师,北京·海淀区·上地,千里马,25-30K·14薪,大专,互联网,5-10年,https://www.zhipin.com/gongsi/cb6dfc88fe27b56b1nNy2dw~.html
中高级python开发工程师,北京·海淀区·中关村,乐元素,20-35K·14薪,本科,游戏,3-5年,https://www.zhipin.com/gongsi/b8f3202d5736c5481nN539u1.html
外派字节—Python开发工程师（三餐+双休）,北京·海淀区·双榆树,软通动力信息技术集团,12-24K,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/564018fcde2fcd9f1nZ83N61GFU~.html
Python开发工程师,北京·朝阳区·太阳宫,BOSS直聘,25-40K·16薪,本科,人力资源服务,5-10年,https://www.zhipin.com/gongsi/fa2f92669c66eee31Hc~.html
资深python工程师（深度学习）,北京·海淀区·上地,梅卡曼德机器人,22-40K,硕士,计算机软件,3-5年,https://www.zhipin.com/gongsi/4187bf5fb5aa26cf1H1409u5.html
python后台开发工程师,北京·海淀区·学院路,志翔科技,25-40K,本科,信息安全,1-3年,https://www.zhipin.com/gongsi/e58d095ee7c205131Hd929i1.html
地图服务开发工程师,北京·海淀区·西北旺,滴滴,25-50K·15薪,不限,移动互联网,经验不限学历,https://www.zhipin.com/gongsi/8548fadc0b5c265403V93t61EQ~~.html
Python开发工程师,北京·朝阳区·酒仙桥,蓝标传媒,18-25K·14薪,本科,移动互联网,3-5年,https://www.zhipin.com/gongsi/d854beca181779fb1H1z0964GA~~.html
模型生产平台开发工程师,北京,SenseTime,20-40K·15薪,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/479e410ee2aff0d21nx8294~.html
Python工程师,北京·海淀区·西三旗,中科星图,20-35K,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/b5d93be53acbd27c1HJ92tW_GQ~~.html
AI平台 - 高级软件工程师,北京·海淀区·中关村,NIO蔚来,50-80K·14薪,本科,汽车生产,3-5年,https://www.zhipin.com/gongsi/c61d023bc6632dd91XZy2dQ~.html
python后端开发工程师,北京·东城区·朝阳门,艾迈科斯媒体科技,13-25K·13薪,本科,互联网,1-3年,https://www.zhipin.com/gongsi/91d2124471f8d59e0nV-2dq4FQ~~.html
高级Python工程师,北京·昌平区·天通苑,我爱我家,15-25K,本科,互联网,5-10年,https://www.zhipin.com/gongsi/61ceb09dd44e66283nV-2NQ~.html
python开发工程师,北京·海淀区·人民大学,软通动力,11-22K,大专,计算机软件,3-5年,https://www.zhipin.com/gongsi/c8311034740eee121nVz09S7E1U~.html
【急招】Python工程师【外派嘉实基金】,北京·朝阳区·国贸,神州信息,15-25K,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/b43e9afee3596e9b1Xd60tu6.html
