name,actor,information,date,star,evaluate,introduction
肖申克的救赎,导演: 弗兰克·德拉邦特 Frank Darabont   主演: 蒂姆·罗宾斯 Tim Robbins /...,希望让人自由。,,9.7,2932160人评价,希望让人自由。
霸王别姬,导演: 陈凯歌 Kaige Chen   主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,风华绝代。,,9.6,2165334人评价,风华绝代。
阿甘正传,导演: 罗伯特·泽米吉斯 Robert Zemeckis   主演: 汤姆·汉克斯 Tom Hanks / ...,一部美国近现代史。,,9.5,2185930人评价,一部美国近现代史。
泰坦尼克号,导演: 詹姆斯·卡梅隆 James Cameron   主演: 莱昂纳多·迪卡普里奥 Leonardo...,失去的才是永恒的。 ,,9.5,2218854人评价,失去的才是永恒的。
这个杀手不太冷,导演: 吕克·贝松 Luc Besson   主演: 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,怪蜀黍和小萝莉不得不说的故事。,,9.4,2318358人评价,怪蜀黍和小萝莉不得不说的故事。
千与千寻,导演: 宫崎骏 Hayao Miyazaki   主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy...,最好的宫崎骏，最好的久石让。 ,,9.4,2269514人评价,最好的宫崎骏，最好的久石让。
美丽人生,导演: 罗伯托·贝尼尼 Roberto Benigni   主演: 罗伯托·贝尼尼 Roberto Beni...,最美的谎言。,,9.6,1340707人评价,最美的谎言。
星际穿越,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 马修·麦康纳 Matthew Mc...,爱是一种力量，让我们超越时空感知它的存在。,,9.4,1872915人评价,爱是一种力量，让我们超越时空感知它的存在。
辛德勒的名单,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 连姆·尼森 Liam Neeson...,拯救一个人，就是拯救整个世界。,,9.6,1118617人评价,拯救一个人，就是拯救整个世界。
盗梦空间,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 莱昂纳多·迪卡普里奥 Le...,诺兰给了我们一场无法盗取的梦。,,9.4,2089971人评价,诺兰给了我们一场无法盗取的梦。
楚门的世界,导演: 彼得·威尔 Peter Weir   主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,如果再也不能见到你，祝你早安，午安，晚安。,,9.4,1736907人评价,如果再也不能见到你，祝你早安，午安，晚安。
忠犬八公的故事,导演: 莱塞·霍尔斯道姆 Lasse Hallström   主演: 理查·基尔 Richard Ger...,永远都不能忘记你所爱的人。,,9.4,1411903人评价,永远都不能忘记你所爱的人。
海上钢琴师,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 蒂姆·罗斯 Tim Roth / ...,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,,9.3,1695284人评价,每个人都要走一条自己坚定了的路，就算是粉身碎骨。
三傻大闹宝莱坞,导演: 拉库马·希拉尼 Rajkumar Hirani   主演: 阿米尔·汗 Aamir Khan / 卡...,英俊版憨豆，高情商版谢耳朵。,,9.2,1877957人评价,英俊版憨豆，高情商版谢耳朵。
放牛班的春天,导演: 克里斯托夫·巴拉蒂 Christophe Barratier   主演: 让-巴蒂斯特·莫尼...,天籁一般的童声，是最接近上帝的存在。 ,,9.3,1326611人评价,天籁一般的童声，是最接近上帝的存在。
机器人总动员,导演: 安德鲁·斯坦顿 Andrew Stanton   主演: 本·贝尔特 Ben Burtt / 艾丽...,小瓦力，大人生。,,9.3,1331049人评价,小瓦力，大人生。
疯狂动物城,导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore   主演: 金妮弗·...,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,,9.2,1965593人评价,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
无间道,导演: 刘伟强 / 麦兆辉   主演: 刘德华 Andy Lau / 梁朝伟 Tony Leung Chiu W...,香港电影史上永不过时的杰作。,,9.3,1381931人评价,香港电影史上永不过时的杰作。
控方证人,导演: 比利·怀尔德 Billy Wilder   主演: 泰隆·鲍华 Tyrone Power / 玛琳·...,比利·怀德满分作品。,,9.6,573433人评价,比利·怀德满分作品。
大话西游之大圣娶亲,导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,一生所爱。,,9.2,1549965人评价,一生所爱。
熔炉,导演: 黄东赫 Dong-hyuk Hwang   主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jung /...,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,,9.4,940991人评价,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
教父,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 马龙·白兰度 M...,千万不要记恨你的对手，这样会让你失去理智。,,9.3,979934人评价,千万不要记恨你的对手，这样会让你失去理智。
